"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b19013001","mhi","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","cost","s5metric"
19003,3628,"Avon town, Colorado","8","",4110,"","","10804110","48022",48022,"C1","0057","0128","Avon",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411658,"Avon, Town of",530464.8,0.00304473184079495
19009,2425.2,"Eagle town, Colorado","8","",22200,"","","10822200","78066",78066,"C1","0360","0258","Eagle",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412456,"Eagle, Town of",2623151,0.0138552320676619
19020,2258,"Gypsum town, Colorado","8","",33695,"","","10833695","88698",88698,"C1","0595","0351","Gypsum",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412716,"Gypsum, Town of",2218035.6,0.0110746688123019
19024,535,"Minturn town, Colorado","8","",50920,"","","10850920","63947",63947,"C1","0890","0473","Minturn",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413005,"Minturn, Town of",731142,0.0213711442405064
20005,322,"Kiowa town, Colorado","8","",40790,"","","10840790","58750",58750,"C1","0715","0404","Kiowa",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412838,"Kiowa, Town of",562931.6,0.0297571877890842
20006,266,"Simla town, Colorado","8","",70635,"","","10870635","41953",41953,"C1","1230","0598","Simla",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413290,"Simla, Town of",197276.6,0.0176779098844769
21006,349.4,"Calhan town, Colorado","8","",11260,"","","10811260","45179",45179,"C1","0165","0175","Calhan",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413149,"Calhan, Town of",377712.2,0.0239277299216816
21026,9663.2,"Fountain city, Colorado","8","",27865,"","","10827865","57057",57057,"C1","0475","0298","Fountain",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410535,"Fountain, City of",6033567.8,0.0109431989761487
21030,2848.2,"Manitou Springs city, Colorado","8","",48445,"","","10848445","49139",49139,"C1","0850","0453","Manitou Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411021,"Manitou Springs, City of",2085714.8,0.0149024655519524
21032,1921.2,"Monument town, Colorado","8","",51800,"","","10851800","93341",93341,"C1","0915","0481","Monument",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413009,"Monument, Town of",1237576,0.00690123555769398
21034,1099.2,"Palmer Lake town, Colorado","8","",57025,"","","10857025","58621",58621,"C1","1025","0513","Palmer Lake",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413103,"Palmer Lake, Town of",699022.2,0.0108482835003537
21036,68,"Ramah town, Colorado","8","",62660,"","","10862660","31250",31250,"C1","1090","0550","Ramah",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412523,"Ramah, Town of",55092.8,0.0259260235294118
22001,103.2,"Brookside town, Colorado","8","",9115,"","","10809115","47679",47679,"C1","0140","0721","Brookside",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411733,"Brookside, Town of",58211.2,0.0118304078421082
22002,7313,"Ca�on City city, Colorado","8","",11810,"","","10811810","38323",38323,"C1","0175","0179","Canon City",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2409976,"Canon City, City of",5387233.8,0.0192225390249223
22006,160,"Coal Creek town, Colorado","8","",15330,"","","10815330","40625",40625,"C1","0225","0201","Coal Creek",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413219,"Coal Creek, Town of",128555.4,0.0197777538461538
22011,1747,"Florence city, Colorado","8","",27040,"","","10827040","36220",36220,"C1","0450","0296","Florence",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410510,"Florence, City of",2536923.2,0.0400927613702057
22018,231.8,"Rockvale town, Colorado","8","",64970,"","","10864970","36923",36923,"C1","1130","0566","Rockvale",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412564,"Rockvale, Town of",140280.4,0.0163902879571896
22019,281.2,"Williamsburg town, Colorado","8","",85155,"","","10885155","47417",47417,"C1","1370","0679","Williamsburg",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413490,"Williamsburg, Town of",151653.8,0.0113737560017653
23004,2476.4,"Carbondale town, Colorado","8","",12045,"","","10812045","62770",62770,"C1","0180","0181","Carbondale (was 12030 prior to 1990)",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413166,"Carbondale, Town of",2499547.8,0.0160800917487592
23013,538.8,"Parachute town, Colorado","8","",57400,"","","10857400","32917",32917,"C1","1037","0516","Parachute",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413110,"Parachute, Town of",669318.8,0.0377385482313291
23017,3633.2,"Rifle city, Colorado","8","",64255,"","","10864255","54175",54175,"C1","1125","0562","Rifle",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410947,"Rifle, City of",5127474.8,0.0260504547585841
24001,70,"Black Hawk city, Colorado","8","",7025,"","","10807025","38500",38500,"C1","0090","0143","Black Hawk",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2409856,"Black Hawk, City of",3345645,1.241426716141
25006,1104.8,"Fraser town, Colorado","8","",28305,"","","10828305","45938",45938,"C1","0485","0302","Fraser",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412655,"Fraser, Town of",1719808.8,0.0338863207908377
25008,1616.6,"Granby town, Colorado","8","",31605,"","","10831605","50125",50125,"C1","0550","0337","Granby",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412699,"Granby, Town of",1822712.4,0.0224937149887868
25014,943.8,"Grand Lake town, Colorado","8","",31715,"","","10831715","51667",51667,"C1","0560","0339","Grand Lake",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412701,"Grand Lake, Town of",425094.2,0.00871750010201316
25015,318.8,"Hot Sulphur Springs town, Colorado","8","",37600,"","","10837600","50250",50250,"C1","0645","0378","Hot Sulphur Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412770,"Hot Sulphur Springs, Town of",557071.8,0.0347741718009701
25018,697.6,"Kremmling town, Colorado","8","",41560,"","","10841560","58500",58500,"C1","0730","0408","Kremmling",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412848,"Kremmling, Town of",735821.2,0.0180305908413707
26008,2670.2,"Gunnison city, Colorado","8","",33640,"","","10833640","35871",35871,"C1","0590","0350","Gunnison",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410674,"Gunnison, City of",1777903.6,0.0185618361099326
26010,105,"Marble town, Colorado","8","",48555,"","","10848555","64167",64167,"C1","0860","0455","Marble",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412952,"Marble, Town of",333.333333333333,4.94740781804226e-05
28007,567.4,"La Veta town, Colorado","8","",44100,"","","10844100","29792",29792,"C1","0785","0414","La Veta",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412857,"La Veta, Town of",424427.4,0.0251081331090958
30035,7852,"Golden city, Colorado","8","",30835,"","","10830835","58998",58998,"C1","0540","0333","Golden",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410611,"Golden, City of",6805445,0.0146905801844099
30055,66285,"Lakewood city, Colorado","8","",43000,"","","10843000","56954",56954,"C1","0760","0420","Lakewood",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411614,"Lakewood, City of",4710387.2,0.00124771994281865
30067,279.2,"Mountain View town, Colorado","8","",52350,"","","10852350","45714",45714,"C1","0925","0484","Mountain View",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413021,"Mountain View, Town of",58922,0.00461650002074691
31002,352,"Eads town, Colorado","8","",22145,"","","10822145","36150",36150,"C1","0355","0257","Eads",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412454,"Eads, Town of",313619,0.0246462812775053
31003,41,"Haswell town, Colorado","8","",34740,"","","10834740","42500",42500,"C1","0605","0357","Haswell",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412734,"Haswell, Town of",36231.4,0.020792769010043
32001,84,"Bethune town, Colorado","8","",6530,"","","10806530","37500",37500,"C1","0085","0140","Bethune",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411684,"Bethune, Town of",74725.4,0.0237223492063492
32010,328,"Flagler town, Colorado","8","",26765,"","","10826765","26125",26125,"C1","0440","0294","Flagler",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412628,"Flagler, Town of",208669.2,0.0243516396312289
32015,122.8,"Seibert town, Colorado","8","",69040,"","","10869040","",NA,"C1","1190","0588","Seibert",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413270,"Seibert, Town of",134467.8,NA
32020,346,"Stratton town, Colorado","8","",74485,"","","10874485","42632",42632,"C1","1260","0619","Stratton",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413341,"Stratton, Town of",250261.4,0.0169661016121842
32023,61,"Vona town, Colorado","8","",81690,"","","10881690","31250",31250,"C1","1320","0653","Vona",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413437,"Vona, Town of",29486,0.0154680655737705
34005,1004.8,"Bayfield town, Colorado","8","",5265,"","","10805265","64087",64087,"C1","0065","0134","Bayfield",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411667,"Bayfield, Town of",1338107.4,0.0207798019441923
34008,7961.2,"Durango city, Colorado","8","",22035,"","","10822035","57024",57024,"C1","0350","0256","Durango",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410374,"Durango, City of",7079839.6,0.0155950656066321
34015,309.8,"Ignacio town, Colorado","8","",38535,"","","10838535","48333",48333,"C1","0665","0385","Ignacio",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412787,"Ignacio, Town of",676363.8,0.0451705303495092
35004,4164.4,"Estes Park town, Colorado","8","",25115,"","","10825115","54530",54530,"C1","0405","0284","Estes Park",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412603,"Estes Park, Town of",3374915.2,0.0148619203513867
35009,62259.6,"Fort Collins city, Colorado","8","",27425,"","","10827425","55647",55647,"C1","0455","0307","Fort Collins",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410526,"Fort Collins, City of",39159436.6,0.0113028601145747
35026,29454.6,"Loveland city, Colorado","8","",46465,"","","10846465","56277",56277,"C1","0830","0443","Loveland",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410886,"Loveland, City of",19945104.8,0.0120323998396589
35047,2355,"Wellington town, Colorado","8","",83230,"","","10883230","76917",76917,"C1","1345","0664","Wellington",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413464,"Wellington, Town of",2084414,0.0115072283916374
36001,290,"Aguilar town, Colorado","8","",760,"","","10800760","36701",36701,"C1","0005","0104","Aguilar",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412339,"Aguilar, Town of",314918,0.0295884073439698
36002,45,"Branson town, Colorado","8","",8345,"","","10808345","36875",36875,"C1","0120","0157","Branson",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411720,"Branson, Town of",38694.8,0.0233189001883239
36005,47,"Kim town, Colorado","8","",40570,"","","10840570","31875",31875,"C1","0713","0403","Kim",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412834,"Kim, Town of",39968.8,0.0266792156862745
36010,35,"Starkville town, Colorado","8","",73715,"","","10873715","18438",18438,"C1","1245","0610","Starkville",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413331,"Starkville, Town of",22137.8,0.0343046193420421
36011,4365.4,"Trinidad city, Colorado","8","",78610,"","","10878610","43819",43819,"C1","1295","0637","Trinidad",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412094,"Trinidad, City of",3780607.8,0.0197640124899644
37002,129,"Arriba town, Colorado","8","",3235,"","","10803235","36071",36071,"C1","0035","0117","Arriba",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411647,"Arriba, Town of",120813.6,0.0259637807347654
37004,84,"Genoa town, Colorado","8","",29680,"","","10829680","37321",37321,"C1","0515","0320","Genoa",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412675,"Genoa, Town of",109981.4,0.0350821891415659
37006,409.4,"Hugo town, Colorado","8","",37875,"","","10837875","32321",32321,"C1","0655","0380","Hugo",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412778,"Hugo, Town of",204945.4,0.0154883640288437
38002,76,"Crook town, Colorado","8","",18640,"","","10818640","38125",38125,"C1","0285","0230","Crook",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412389,"Crook, Town of",45790,0.0158032786885246
38005,204.4,"Fleming town, Colorado","8","",26875,"","","10826875","41875",41875,"C1","0445","0295","Fleming",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412631,"Fleming, Town of",100708,0.0117659841691737
38007,128.2,"Iliff town, Colorado","8","",38590,"","","10838590","36250",36250,"C1","0670","0386","Iliff",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412788,"Iliff, Town of",75070.4,0.0161537253214266
38011,120.8,"Merino town, Colorado","8","",50040,"","","10850040","39773",39773,"C1","0880","0466","Merino",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412985,"Merino, Town of",82940,0.017262700927099
38016,106,"Peetz town, Colorado","8","",58235,"","","10858235","34750",34750,"C1","1040","0523","Peetz",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413123,"Peetz, Town of",66918.4,0.0181670693633772
38019,5408.8,"Sterling city, Colorado","8","",73935,"","","10873935","35732",35732,"C1","1255","0612","Sterling",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411978,"Sterling, City of",3920222.4,0.020283946557863
39011,223.2,"Collbran town, Colorado","8","",15605,"","","10815605","32361",32361,"C1","0235","0206","Collbran",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413226,"Collbran, Town of",261662,0.0362263461738038
39012,224.2,"De Beque town, Colorado","8","",19355,"","","10819355","44000",44000,"C1","0300","0235","De Beque",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412412,"De Beque, Town of",375451.2,0.0380596869678047
39014,5204,"Fruita city, Colorado","8","",28745,"","","10828745","55864",55864,"C1","0505","0305","Fruita",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410553,"Fruita, City of",1927305.4,0.00662950681368158
39020,26862.2,"Grand Junction city, Colorado","8","",31660,"","","10831660","45358",45358,"C1","0555","0338","Grand Junction",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410631,"Grand Junction, City of",5222199.8,0.00428605765574776
39034,1292.2,"Palisade town, Colorado","8","",56970,"","","10856970","43167",43167,"C1","1020","0512","Palisade",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413101,"Palisade, Town of",1182185.2,0.0211935600157628
41004,4088.2,"Craig city, Colorado","8","",17760,"","","10817760","49590",49590,"C1","0255","0223","Craig",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410255,"Craig, City of",3878923.6,0.0191330842362882
41005,175,"Dinosaur town, Colorado","8","",20495,"","","10820495","42083",42083,"C1","0332","0246","Dinosaur",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412432,"Dinosaur, Town of",155370.6,0.0210971651260604
42004,3904,"Cortez city, Colorado","8","",17375,"","","10817375","42412",42412,"C1","0250","0219","Cortez",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410236,"Cortez, City of",1592426,0.00961746685132417
42008,501.6,"Dolores town, Colorado","8","",20770,"","","10820770","34813",34813,"C1","0335","0248","Dolores",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412439,"Dolores, Town of",436221.4,0.0249808947334977
42016,615.8,"Mancos town, Colorado","8","",48115,"","","10848115","36729",36729,"C1","0845","0452","Mancos",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412939,"Mancos, Town of",650877,0.0287773061033186
43004,8715.2,"Montrose city, Colorado","8","",51745,"","","10851745","41717",41717,"C1","0910","0480","Montrose",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411151,"Montrose, City of",8090414.8,0.0222525795044836
43007,369.4,"Nucla town, Colorado","8","",54935,"","","10854935","30000",30000,"C1","0955","0497","Nucla",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413058,"Nucla, Town of",437923,0.0395166035011731
