geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
117.29,108059011729,147500,8207,49892,7577
9690,108083969000,250900,24241,45625,18087
9676,108095967600,142000,17413,43566,6315
147,108019014700,361800,33634,85436,11835
43.02,108031004302,362600,26241,83615,9236
83.04,108031008304,165900,10820,42017,6152
9617,108065961700,167500,15944,43344,7177
9.04,108031000904,154500,12113,26279,2183
9647,108029964700,189200,19656,42192,9406
32.01,108031003201,268500,28021,58529,5742
36.02,108031003602,169000,20395,39130,9783
37.01,108031003701,343600,16399,58487,15712
600,108001060000,401000,24738,117872,17123
9792,108043979200,296500,18834,67167,15209
103.03,108059010303,268900,13182,62257,5876
113,108059011300,226000,13641,46750,5331
4.01,108123000401,194700,20022,53214,11260
2.02,108069000202,332300,26593,60750,8354
10.08,108069001008,299300,16105,67647,7811
11.04,108041001104,161500,6691,42478,7190
1,108037000100,208300,94700,39805,14977
39.02,108031003902,424000,37561,94583,6824
41.03,108031004103,391100,26322,89630,13439
28.03,108069002803,,,43984,15328
5,108087000500,114100,8331,44333,13147
21.02,108041002102,142000,3799,41383,3514
43.06,108031004306,528700,80479,95400,16393
45.04,108031004504,134200,20314,38222,4013
67.06,108005006706,393000,19465,105517,16369
9518.02,108045951802,490700,45369,83558,4882
103.05,108059010305,189800,7728,48165,5415
117.01,108059011701,262500,12140,75026,9958
120.42,108059012042,280500,12211,92741,4641
5.05,108069000505,177300,18393,28664,7953
9691,108083969100,231800,18481,47869,5319
4.01,108069000401,204400,13210,43618,7548
8.01,108069000801,283300,11717,42162,9232
15,108031001500,131900,31507,29639,7049
17.02,108031001702,268100,21149,58242,11834
26.02,108031002602,322000,26167,63672,13509
137.01,108013013701,563500,55171,117224,14355
9710,108067971000,370300,15337,61828,2665
2.01,108069000201,343600,24897,45132,14587
9726,108023972600,106900,15509,31797,6205
11.02,108031001102,414900,61247,71146,7795
30.03,108031003003,346800,19772,45179,12852
40.05,108031004005,368400,47231,36613,3890
9512,108103951200,165600,9349,68924,5815
7.03,108123000703,110800,12555,42716,4545
70.89,108031007089,99500,5179,27719,3580
9612.06,108039961206,344100,17038,96023,4603
9749,108021974900,125900,20247,44146,4651
9709,108067970900,352400,29542,52849,6221
9664,108085966400,181000,8414,33304,7178
9696,108025969600,76100,11509,31151,4231
4.01,108031000401,335100,16835,52872,8221
7.01,108031000701,255600,61174,22134,4725
16.03,108069001603,242300,13972,73495,9718
17.08,108069001708,309200,21458,70871,8178
9404,108067940400,321400,15156,63229,2363
23,108069002300,306200,20407,67031,18502
25.03,108069002503,283400,47472,76615,10595
5,108081000500,144400,12424,50912,5945
85.38,108001008538,268100,7993,97069,7299
85.46,108001008546,193700,20122,66250,9449
96.03,108001009603,169000,9562,43308,3612
5,108071000500,115600,27121,37534,15108
139.11,108035013911,401500,21874,128464,13938
14.03,108077001403,232800,16210,66144,9927
142.02,108035014202,471600,27248,105341,17599
145.05,108035014505,310100,37850,70450,12638
8,108101000800,61900,7651,25881,5575
3,108081000300,238500,28682,70292,8603
141.22,108035014122,681400,67793,155541,26055
141.24,108035014124,348900,16527,124516,12045
141.37,108035014137,451900,13306,146667,10299
9666.02,108085966602,287500,34434,58304,8936
83.09,108001008309,37200,13148,45268,12522
146.03,108035014603,231100,10477,89228,12025
85.51,108001008551,410300,32891,122375,28311
87.05,108001008705,122700,10566,41552,4268
30,108041003000,199900,22261,42396,7988
3.02,108037000302,579600,70830,86287,19721
5.02,108037000502,457700,27358,88894,18959
9.03,108101000903,,,,
9612.09,108039961209,249400,25598,74583,9773
5,108041000500,208500,13986,53292,13075
2,108087000200,197100,24015,50110,5919
7,108087000700,139900,16470,44049,10277
9.05,108101000905,155200,14509,27765,5055
9686,108089968600,74200,15707,29115,6343
12,108101001200,64500,5081,20912,1828
89.01,108001008901,127900,7971,43099,4067
92.03,108001009203,226600,20324,36602,4553
84.01,108001008401,254200,59830,62572,9690
92.07,108001009207,182700,9580,54267,7959
1,108093000100,245400,17890,60972,8238
3,108101000300,,,,
5,108101000500,98400,14171,34393,7814
11,108101001100,71400,8820,18233,6813
37.01,108041003701,307300,21197,75637,8859
37.08,108041003708,302200,18723,77893,9763
39.05,108041003905,241200,37758,63041,7604
39.09,108041003909,207700,20037,58250,9433
43,108041004300,173400,8109,59212,9030
16,108101001600,134500,15001,49524,7841
18,108101001800,97200,4770,36525,5372
28.02,108101002802,155400,9744,41152,5731
29.01,108101002901,88500,12646,35795,7260
29.11,108101002911,215700,11411,81250,10252
31.03,108101003103,135200,19350,43784,9815
68.08,108005006808,623400,21430,155469,13693
77,108041007700,252900,29672,52699,6550
73,108041007300,430900,35053,118259,13233
71.01,108041007101,377000,11725,118877,4937
9600,108003960000,153700,15797,41726,10405
49.52,108005004952,,,45605,9427
55.52,108005005552,86400,59228,30053,6147
56.19,108005005619,279000,22452,80250,14357
56.27,108005005627,349100,17337,95383,9487
57,108005005700,170100,16008,44361,5289
59.51,108005005951,202000,24411,36847,5167
63,108005006300,210000,12343,59219,8721
62,108041006200,117600,18713,38411,5648
45.10,108041004510,220600,16755,71368,6680
46.02,108041004602,182800,15749,49382,3103
48,108041004800,185500,3732,53309,3939
