"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b19013001","mhi","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","rev","s5metric"
23004,2476.4,"Carbondale town, Colorado","8","",12045,"","","10812045","62770",62770,"C1","0180","0181","Carbondale (was 12030 prior to 1990)",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413166,"Carbondale, Town of",2140969.12,0.0137732832638209
23008,4139.8,"Glenwood Springs city, Colorado","8","",30780,"","","10830780","49538",49538,"C1","0535","0331","Glenwood Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410605,"Glenwood Springs, City of",11071691.86,0.0539878659986447
23012,1721.6,"New Castle town, Colorado","8","",53395,"","","10853395","66818",66818,"C1","0940","0490","New Castle",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413042,"New Castle, Town of",1964969.58,0.0170816612576626
23013,538.8,"Parachute town, Colorado","8","",57400,"","","10857400","32917",32917,"C1","1037","0516","Parachute",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413110,"Parachute, Town of",613239.2,0.0345765831268174
23017,3633.2,"Rifle city, Colorado","8","",64255,"","","10864255","54175",54175,"C1","1125","0562","Rifle",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410947,"Rifle, City of",5541035.72,0.0281515767448645
23019,1085.2,"Silt town, Colorado","8","",70195,"","","10870195","56268",56268,"C1","1210","0593","Silt",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413284,"Silt, Town of",1661465.86,0.0272094747266983
25006,1104.8,"Fraser town, Colorado","8","",28305,"","","10828305","45938",45938,"C1","0485","0302","Fraser",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412655,"Fraser, Town of",891641.2,0.0175684876909151
25008,1616.6,"Granby town, Colorado","8","",31605,"","","10831605","50125",50125,"C1","0550","0337","Granby",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412699,"Granby, Town of",1375172.66,0.0169707200512883
25015,318.8,"Hot Sulphur Springs town, Colorado","8","",37600,"","","10837600","50250",50250,"C1","0645","0378","Hot Sulphur Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412770,"Hot Sulphur Springs, Town of",484086.26,0.0302181851095838
26004,1087.2,"Crested Butte town, Colorado","8","",18310,"","","10818310","59659",59659,"C1","0270","0226","Crested Butte",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412385,"Crested Butte, Town of",1202309.14,0.0185366280430597
26008,2670.2,"Gunnison city, Colorado","8","",33640,"","","10833640","35871",35871,"C1","0590","0350","Gunnison",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410674,"Gunnison, City of",1553162.6,0.0162154740185446
27005,453.8,"Lake City town, Colorado","8","",42330,"","","10842330","44821",44821,"C1","0750","0417","Lake City",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412863,"Lake City, Town of",418577.64,0.0205792712560592
28007,567.4,"La Veta town, Colorado","8","",44100,"","","10844100","29792",29792,"C1","0785","0414","La Veta",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412857,"La Veta, Town of",367047.72,0.0217136853349952
28010,1762,"Walsenburg city, Colorado","8","",82350,"","","10882350","24928",24928,"C1","1330","0656","Walsenburg",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412176,"Walsenburg, City of",1861759.82,0.0423867690139429
29006,377.8,"Walden town, Colorado","8","",82130,"","","10882130","44276",44276,"C1","1325","0655","Walden",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413440,"Walden, Town of",362296.28,0.0216587576815549
30020,2438.4,"Edgewater city, Colorado","8","",23135,"","","10823135","44148",44148,"C1","0380","0266","Edgewater",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410399,"Edgewater, City of",1357939.2,0.0126143344612502
30035,7852,"Golden city, Colorado","8","",30835,"","","10830835","58998",58998,"C1","0540","0333","Golden",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410611,"Golden, City of",7092389.68,0.0153099935850075
30055,66285,"Lakewood city, Colorado","8","",43000,"","","10843000","56954",56954,"C1","0760","0420","Lakewood",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411614,"Lakewood, City of",4260015,0.00112842223930266
30065,141,"Morrison town, Colorado","8","",52075,"","","10852075","59583",59583,"C1","0920","0482","Morrison",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413014,"Morrison, Town of",672861.88,0.0800911345672757
31002,352,"Eads town, Colorado","8","",22145,"","","10822145","36150",36150,"C1","0355","0257","Eads",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412454,"Eads, Town of",315063.4,0.0247597919024268
