"LG_ID","NAME","EXP_PRINCIPAL","EXP_INTEREST","EXP_OPERATING","EXP_TRANSFER_OUT","rev","housingunits","mhi","s5metric"
57027,"Mountain Village",0,0,1385017.6,240705.2,1625722.8,2074.8,35568,0.022029813061669
58004,"Julesburg",100455.8,65490.6,337861.6,0,520402.64,730.2,41500,0.0171731342791049
58007,"Ovid",4165,4026.4,65459.8,0,74470.34,176,25417,0.016647398663028
58012,"Sedgwick",13966.6,0,59350,1200,75913.26,110,29375,0.023493465377176
59009,"Dillon",233695.6,66655.2,1084602.2,5600,1420588.08,1290.8,54688,0.0201241325159662
59018,"Silverthorne",0,0,1717413.4,267581.6,1984995,2105.4,70938,0.0132906388996413
60001,"Cripple Creek",59886.4,73985.6,1606051.6,0,1753310.8,728.4,34107,0.0705741164378724
60012,"Victor",87070.6,49029,548645.2,633842,1332196.76,339.6,38333,0.10233586913661
60015,"Woodland Park",724887,156817.6,1947607.6,125483.6,3042966.26,3225.6,64945,0.014525828268761
61002,"Akron",33351,84657.6,378352.6,0,508162.06,844.4,40972,0.0146881415196698
62003,"Ault",72456.4,18980.8,552348.8,30000,682929.72,616.8,50368,0.0219824928989563
62008,"Eaton",341555.2,212994.4,1118729.6,32966,1761700.16,1729,69242,0.0147152415993202
62011,"Evans",101897.8,28828,3828924.8,1011455,4984178.18,6847.6,47791,0.0152303210541165
62014,"Fort Lupton",925264.6,751147.6,2807261.6,0,4651315.02,2552.6,50191,0.0363050584672998
62020,"Gilcrest",27912.8,22847.2,271837.8,6612.6,334286.4,346,46875,0.0206111075144509
62022,"Greeley",6506097.6,3750504.4,20735364.6,1855580.2,33873207,36553.4,48813,0.0189842322100615
62023,"Grover",7580.8,3580,53187.4,54564,120028.28,90,NA,NA
62029,"Hudson",1093295.6,138789.2,862190,41925,2259408.28,561.2,49306,0.0816539657401251
62033,"Keenesburg",33827,42308.2,398072.6,6436.2,488257.52,465.2,53264,0.0197049554360479
62035,"Kersey",83834.6,43483.4,453929.4,0,593979.2,533.4,55179,0.0201810798224788
62037,"La Salle",86735,5488.6,777160,0,878605.96,748.4,48906,0.0240048072237445
62038,"Lochbuie",236901.2,106969.2,1722512.2,0,2100769.64,1870.4,49415,0.0227292517493164
62043,"Milliken",303527.4,163900.8,1089558.8,136973.2,1740703.02,1999.2,72273,0.0120473730150397
62046,"Pierce",39423,9818,338827,1600,394592.1,337,57917,0.0202168005796077
62050,"Platteville",71000,11290.2,691213.4,233907.2,1015639.82,940.4,57227,0.0188723559790025
62053,"Severance",188314.6,20754,797083.6,0,1027059.06,1201.8,85625,0.00998073750687837
63003,"Eckley",10640,2863,85012.8,1000,100866.1,132,38375,0.019912367979469
63010,"Wray",80121.4,9109,317772.2,80000,495925.64,1020.4,40850,0.0118974544746174
63017,"Yuma",0,0,530232.6,31200,561432.6,1490.2,37123,0.0101486903600809
64009,"Arvada",1670200,584600,24496400,252200,27228880,45203.8,69938,0.0086127457008086
64010,"Aurora",37400221,31433620.8,85602641.2,0,161319867.18,132556,53011,0.0229573876993927
64029,"Brighton",1525199.8,1282996.6,8853497.8,352656.8,12295170.64,11639.4,61051,0.0173025927176102
64030,"Broomfield",6232047.6,4235731.6,17786854.8,2614574.4,31915986.32,23372.8,81898,0.0166734023841988
64060,"Erie",3228310.2,3251673.6,5095527.2,0,12223509.38,6924.2,111745,0.0157978580297379
64153,"Westminster",4446586.2,2524938.6,29728668,229945,37627290.28,44098.2,67081,0.0127198664891087
64198,"Northglenn",1908790.4,588385,7014063.4,0,9760956.34,14319.2,55831,0.0122095092583488
64205,"Longmont",1500300.2,953542.4,14007689.2,2454016.8,19160932.86,35433,62208,0.00869285601032622
64225,"Windsor",129535.4,70232.6,3350113.2,895730.2,4465588.2,7712.2,80512,0.0071918359593078
64237,"Berthoud",609424.4,544171.4,1706451.8,195000,3170407.18,2131.4,59477,0.0250092706610024
64258,"Bennett",29898.4,26099.4,674975.8,154631,891204.38,898,50750,0.0195553200873315
64264,"Thornton",8420516.4,2668585,25403814.6,5363756.4,42965582.54,43906.8,66948,0.0146167665536788
64266,"Johnstown",931883,128409.8,2223785.8,39162.8,3429270.68,3978.2,81313,0.0106012034400588
