"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b25077001","mhv","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","debt","s4metric"
19024,535,"Minturn town, Colorado","8","",50920,"","","10850920","527300",527300,"C1","0890","0473","Minturn",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413005,"Minturn, Town of",2193697.6,0.00777616033717882
19026,141.2,"Red Cliff town, Colorado","8","",63265,"","","10863265","325000",325000,"C1","1110","0555","Red Cliff",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412535,"Red Cliff, Town of",4529874,0.0987115711483983
20004,531.6,"Elizabeth town, Colorado","8","",23740,"","","10823740","177900",177900,"C1","0385","0276","Elizabeth",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412474,"Elizabeth, Town of",26411757,0.27927777291374
20005,322,"Kiowa town, Colorado","8","",40790,"","","10840790","131900",131900,"C1","0715","0404","Kiowa",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412838,"Kiowa, Town of",22476632,0.529213077854011
20006,266,"Simla town, Colorado","8","",70635,"","","10870635","113000",113000,"C1","1230","0598","Simla",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413290,"Simla, Town of",673024,0.0223908443675561
21006,349.4,"Calhan town, Colorado","8","",11260,"","","10811260","150300",150300,"C1","0165","0175","Calhan",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413149,"Calhan, Town of",1620027,0.0308489489252748
21030,2848.2,"Manitou Springs city, Colorado","8","",48445,"","","10848445","289600",289600,"C1","0850","0453","Manitou Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411021,"Manitou Springs, City of",17715042,0.0214769767355247
21036,68,"Ramah town, Colorado","8","",62660,"","","10862660","117200",117200,"C1","1090","0550","Ramah",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412523,"Ramah, Town of",527400,0.0661764705882353
23004,2476.4,"Carbondale town, Colorado","8","",12045,"","","10812045","447700",447700,"C1","0180","0181","Carbondale (was 12030 prior to 1990)",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413166,"Carbondale, Town of",1222588,0.00110273774243466
23008,4139.8,"Glenwood Springs city, Colorado","8","",30780,"","","10830780","321100",321100,"C1","0535","0331","Glenwood Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410605,"Glenwood Springs, City of",155853345,0.117245575302625
23012,1721.6,"New Castle town, Colorado","8","",53395,"","","10853395","265100",265100,"C1","0940","0490","New Castle",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413042,"New Castle, Town of",38751930,0.084908536478484
23013,538.8,"Parachute town, Colorado","8","",57400,"","","10857400","123800",123800,"C1","1037","0516","Parachute",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413110,"Parachute, Town of",1458002,0.0218579731420149
23017,3633.2,"Rifle city, Colorado","8","",64255,"","","10864255","195600",195600,"C1","1125","0562","Rifle",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410947,"Rifle, City of",157880949,0.222162918625707
23019,1085.2,"Silt town, Colorado","8","",70195,"","","10870195","187800",187800,"C1","1210","0593","Silt",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413284,"Silt, Town of",26457876,0.129822391067031
25006,1104.8,"Fraser town, Colorado","8","",28305,"","","10828305","276300",276300,"C1","0485","0302","Fraser",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412655,"Fraser, Town of",0,0
25008,1616.6,"Granby town, Colorado","8","",31605,"","","10831605","192800",192800,"C1","0550","0337","Granby",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412699,"Granby, Town of",957700,0.00307269803999275
25015,318.8,"Hot Sulphur Springs town, Colorado","8","",37600,"","","10837600","224600",224600,"C1","0645","0378","Hot Sulphur Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412770,"Hot Sulphur Springs, Town of",7450835,0.104058337085531
26004,1087.2,"Crested Butte town, Colorado","8","",18310,"","","10818310","703400",703400,"C1","0270","0226","Crested Butte",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412385,"Crested Butte, Town of",11717850,0.0153227292099365
26008,2670.2,"Gunnison city, Colorado","8","",33640,"","","10833640","203100",203100,"C1","0590","0350","Gunnison",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410674,"Gunnison, City of",0,0
27005,453.8,"Lake City town, Colorado","8","",42330,"","","10842330","269500",269500,"C1","0750","0417","Lake City",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412863,"Lake City, Town of",21036,0.00017200453641932
