geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
4,1080050056194,203700,16912,65792,21473
1,1080050056201,,,42109,11559
2,1080050056202,189100,8262,52054,7024
1,1080050056211,515900,46216,136875,31461
2,1080050056212,388100,32773,113250,24588
1,1080050056221,693800,30821,125625,29853
2,1080050056222,750000,141132,77917,13814
1,1080050056231,320800,26101,83438,14612
2,1080050056232,378400,22350,130298,21450
1,1080050056241,342800,16859,106563,14798
1,1080050056251,238900,61537,46141,17122
2,1080050056252,260800,17205,68155,4232
1,1080050056261,280700,12223,71277,7737
2,1080050056262,169100,46423,55658,7081
1,1080050056271,274400,33635,78897,20422
2,1080050056272,367200,24110,96318,11140
3,1080050056273,382400,28897,121528,20084
1,1080050056281,338600,27928,85903,51346
2,1080050056282,226400,22594,60096,19182
3,1080050056283,253900,30382,56834,5308
4,1080050056284,261300,18558,98693,31903
1,1080050056291,547400,38537,145192,16949
2,1080050056292,670500,45503,137250,48198
1,1080050056301,261000,67150,81154,38039
2,1080050056302,370000,15306,118885,10278
3,1080050056303,205300,63318,67163,21001
4,1080050056304,335500,70452,71016,47565
1,1080050056311,299700,28048,109250,30717
2,1080050056312,257700,19073,74250,20973
3,1080050056313,290600,19162,97024,11774
1,1080050056321,289600,16467,107708,12228
2,1080050056322,333600,21025,118672,15530
1,1080050056331,422800,28244,119550,13839
2,1080050056332,295300,20263,91159,11715
1,1080050056341,265500,31870,74167,12611
2,1080050056342,97700,48087,44421,13245
1,1080050056351,424500,21409,89583,22815
2,1080050056352,325000,143689,107583,59178
3,1080050056353,258000,24672,74336,29485
1,1080050056361,1403200,320704,250001,
1,1080050057001,200000,42515,45750,11046
2,1080050057002,176400,22193,45638,4680
3,1080050057003,155900,50791,39531,17487
1,1080050058001,325400,32250,81458,21445
2,1080050058002,256400,31617,60000,16584
1,1080050059511,217200,28109,58278,8616
2,1080050059512,233900,123772,36138,9786
3,1080050059513,,,21322,11087
4,1080050059514,188900,7993,40962,14777
1,1080050059521,374500,26949,108056,51904
2,1080050059522,337500,98056,39773,7634
1,1080050060001,221800,35303,27857,10941
2,1080050060002,220300,7797,58125,16145
3,1080050060003,215300,22809,46042,17820
1,1080050061001,191300,48255,30179,8311
2,1080050061002,230000,20540,50089,21683
3,1080050061003,223100,33107,66447,21789
1,1080050062001,208900,21401,35341,13913
2,1080050062002,211200,47994,53977,20755
3,1080050062003,235700,20299,65259,19686
4,1080050062004,231800,69883,72981,25213
1,1080050063001,191200,25968,58611,9054
2,1080050063002,238200,16153,72644,8570
3,1080050063003,213600,19140,44792,11477
4,1080050063004,191600,6878,52000,22506
1,1080050064001,196800,30898,51964,7056
2,1080050064002,232800,14898,33578,4729
3,1080050064003,254800,27118,82083,12685
1,1080050065011,,,35869,7108
1,1080050065021,241200,24034,52661,31903
2,1080050065022,238400,25656,57972,7654
3,1080050065023,222800,19389,55852,36805
1,1080050066011,219500,50907,38574,4822
2,1080050066012,214000,17199,69750,17257
3,1080050066013,86900,19781,36910,5055
4,1080050066014,,,34484,6136
1,1080050066031,273300,16375,70833,15981
2,1080050066032,260300,22202,75000,18350
3,1080050066033,246100,15031,39861,19132
1,1080050066041,270900,60707,71518,34447
2,1080050066042,316300,79062,42560,8833
3,1080050066043,215600,14290,25272,7294
1,1080050067041,1056000,111094,216667,55048
2,1080050067042,1043000,65105,204531,69400
3,1080050067043,1862000,243104,250001,
4,1080050067044,2000001,,250001,
1,1080050067051,1301900,264321,202902,29367
1,1080050067061,368700,29172,98854,32638
2,1080050067062,426300,49406,97446,21543
3,1080050067063,388600,39405,130074,41714
1,1080050067071,272300,12381,102938,16953
2,1080050067072,272100,22869,88295,28774
3,1080050067073,201700,46056,67993,29994
4,1080050067074,299000,27455,125694,39479
1,1080050067081,440900,19863,123438,21078
2,1080050067082,347900,20099,106058,13721
3,1080050067083,373500,15685,93500,37984
1,1080050067091,378100,32839,104286,48080
2,1080050067092,339800,85379,112167,12005
3,1080050067093,389500,36244,129750,14410
4,1080050067094,302400,30007,92561,22798
1,1080050067111,342800,19289,96034,14074
2,1080050067112,366700,19360,88542,16225
3,1080050067113,379800,25890,116326,27999
4,1080050067114,379900,18186,111875,16286
1,1080050067121,1019100,89715,176667,55386
2,1080050067122,682400,114023,117031,7915
1,1080050067131,,,65844,4716
1,1080050068081,771400,49649,199821,45250
2,1080050068082,384800,25742,139063,30460
3,1080050068083,598100,29083,158235,28339
1,1080050068151,596500,42001,173500,34823
2,1080050068152,441300,55339,133224,29102
3,1080050068153,126800,16062,54904,9203
4,1080050068154,,,61400,23029
1,1080050068541,490100,49476,76694,21347
1,1080050068551,462700,25705,103750,22620
2,1080050068552,450300,41715,103182,24517
1,1080050068561,383500,45121,99507,23740
2,1080050068562,227500,16992,81146,3562
3,1080050068563,142200,13072,54293,13326
4,1080050068564,145400,30733,50152,16087
1,1080050068571,858200,67333,164653,58009
2,1080050068572,638300,46215,94946,33412
1,1080050068581,278600,86014,60648,24513
2,1080050068582,1701100,951763,61833,20698
3,1080050068583,225600,33451,67333,4533
1,1080050071011,241200,14121,100625,14453
2,1080050071012,150300,27877,58750,11124
3,1080050071013,146000,27415,39028,11074
4,1080050071014,261300,30098,77574,18846
1,1080050071031,311800,29284,86346,30077
1,1080050071041,,,49315,26116
2,1080050071042,271100,9926,87917,27069
3,1080050071043,293000,23981,107647,28351
1,1080050071051,288800,13780,100714,16296
2,1080050071052,,,58929,30752
1,1080050071061,324200,21235,92981,20123
2,1080050071062,319100,16464,110188,9374
1,1080050071071,373500,16243,101389,15018
2,1080050071072,483000,37052,150542,20108
1,1080050072011,123600,28339,57063,11629
2,1080050072012,164900,23820,38520,7727
3,1080050072013,,,21250,2490
1,1080050072021,110100,19304,28188,7241
2,1080050072022,112700,16366,54837,27713
3,1080050072023,114900,36235,36108,10488
1,1080050073011,155900,39300,32273,7122
2,1080050073012,,,41705,14379
1,1080050073021,182500,124526,24583,3034
2,1080050073022,130400,23187,,
3,1080050073023,126600,113767,31101,4052
4,1080050073024,159400,29693,31049,5767
1,1080050074001,131700,15148,47500,9859
2,1080050074002,107500,60319,40553,10008
3,1080050074003,154500,21592,41905,7711
4,1080050074004,128300,17658,37446,8840
1,1080050075001,151500,15754,52596,6725
2,1080050075002,162300,12049,46250,12212
1,1080050076001,,,25816,3880
2,1080050076002,122600,19980,55031,20600
3,1080050076003,113400,12547,30221,15330
4,1080050076004,117800,60654,26528,10481
1,1080050077021,161300,12359,55500,11935
2,1080050077022,162500,19528,41579,18048
3,1080050077023,240200,29808,36324,9407
1,1080050077031,241500,11755,56538,31990
2,1080050077032,165500,8381,53472,23923
3,1080050077033,165400,27367,38199,10369
1,1080050077041,90500,6836,41679,7248
2,1080050077042,105300,17600,36179,3351
3,1080050077043,110600,17318,31553,8470
1,1080050151001,357400,20717,119306,35380
2,1080050151002,289700,13626,102670,6156
1,1080050800001,164200,15686,32465,12235
2,1080050800002,170000,8802,56667,7024
1,1080050801001,168000,28569,23949,6208
2,1080050801002,165400,31857,24063,11678
3,1080050801003,133300,14920,44938,15797
1,1080050802001,285800,23733,79531,27595
2,1080050802002,248000,20585,72880,7465
3,1080050802003,226700,14735,63214,18666
4,1080050802004,236500,11129,73750,13158
1,1080050803001,249200,30004,61719,29338
2,1080050803002,252700,23638,94792,22328
3,1080050803003,223900,17218,51167,7377
4,1080050803004,132700,71314,42045,7277
1,1080050804001,145300,24652,65398,20343
2,1080050804002,221900,15809,63214,5536
3,1080050804003,134500,13484,49000,9519
4,1080050804004,256600,22804,92353,23128
1,1080050805001,258900,16055,73617,3906
2,1080050805002,135300,14171,45580,4547
1,1080050806001,118400,47481,43547,8272
2,1080050806002,154900,20312,58060,14043
3,1080050806003,146900,15807,38969,4050
1,1080050807001,144100,21419,52500,5590
2,1080050807002,110900,73796,31071,6618
3,1080050807003,199200,14792,76012,8355
1,1080050808001,140400,17178,38850,5591
2,1080050808002,163600,11217,55833,8900
1,1080050809001,181800,11525,56932,17005
2,1080050809002,189300,13120,75300,11435
1,1080050810001,158400,40297,40242,19425
2,1080050810002,162000,4779,24926,14235
3,1080050810003,90500,15118,37666,8706
4,1080050810004,,,29555,3115
1,1080050811001,,,38188,6881
2,1080050811002,186200,46533,80996,29031
3,1080050811003,141300,77694,32955,7885
4,1080050811004,,,33297,4582
1,1080050812001,163800,38152,49375,5999
2,1080050812002,106000,29315,32000,4893
3,1080050812003,102200,28061,37462,13886
1,1080050813001,187600,6719,53622,3886
2,1080050813002,163400,20272,41515,7732
1,1080050814001,199300,19876,41250,30574
2,1080050814002,200300,28850,43611,10565
3,1080050814003,199100,31377,67063,7637
4,1080050814004,201200,12321,69773,7804
1,1080050815001,156100,30113,42037,14017
2,1080050815002,150800,14278,34349,5215
1,1080050816001,222200,86765,52852,22022
2,1080050816002,179800,14242,72560,17373
3,1080050816003,177800,12639,68413,11336
4,1080050816004,182000,10188,74141,13591
1,1080050817001,328900,12576,115417,15766
2,1080050817002,506200,48129,140893,43377
1,1080050818001,31000,10631,31528,5607
2,1080050818002,156300,26011,49038,11359
3,1080050818003,116800,10973,65950,17767
1,1080050819001,124700,18020,49760,27583
2,1080050819002,164600,9970,57399,6760
3,1080050819003,131300,55905,20992,5528
4,1080050819004,221300,26272,39375,36750
1,1080050820001,,,37382,9502
2,1080050820002,165600,5588,37472,14608
3,1080050820003,66900,26953,32036,11247
1,1080050821001,202400,18915,86889,18009
2,1080050821002,190000,9380,65739,9367
3,1080050821003,,,30000,7260
1,1080050822001,141900,24542,53173,22363
2,1080050822002,166400,10769,29750,5413
3,1080050822003,96200,2901,45634,4925
4,1080050822004,206400,20397,61582,12805
1,1080050823001,161700,10271,72292,17379
2,1080050823002,141300,11408,51379,6669
1,1080050824001,171700,12021,68036,18841
2,1080050824002,182200,6764,66094,8909
3,1080050824003,,,43162,8413
1,1080050825001,166900,11539,61394,8545
2,1080050825002,205900,11036,78214,8481
1,1080050826001,103400,50347,46745,23810
2,1080050826002,140400,42880,56855,21912
3,1080050826003,81500,13859,40704,3086
4,1080050826004,153900,67184,51096,3883
1,1080050827001,189400,14013,68548,6449
2,1080050827002,191800,15723,70313,27014
1,1080050828001,189400,20156,88472,25871
2,1080050828002,125000,17377,44613,17848
3,1080050828003,168700,6908,64458,8444
4,1080050828004,112100,14711,56339,11157
1,1080050829001,172200,14403,71277,9405
2,1080050829002,180100,20621,58594,7990
3,1080050829003,154700,11472,44911,10542
1,1080050830001,277900,12881,89073,19003
1,1080050831001,130100,23126,50074,17134
2,1080050831002,236300,12509,99322,6525
3,1080050831003,267400,11037,102965,17194
4,1080050831004,129800,9117,40885,10285
1,1080050832001,252900,22553,99615,34693
2,1080050832002,263300,19263,86020,19819
3,1080050832003,288600,15757,121984,19340
4,1080050832004,246100,24911,108942,29826
1,1080050833001,213000,14592,75625,13468
2,1080050833002,189400,15012,57994,7127
3,1080050833003,174900,15680,71579,16016
1,1080050834001,181200,17354,65081,13323
2,1080050834002,213900,23223,86444,12658
3,1080050834003,245300,30500,63967,6334
1,1080050835001,225800,5018,110313,39074
2,1080050835002,262500,24374,96806,24681
3,1080050835003,256100,20398,102083,23622
4,1080050835004,83200,31702,33938,7800
5,1080050835005,196300,19168,73523,24994
1,1080050836001,208800,112119,40938,5693
2,1080050836002,151200,34654,54792,9440
3,1080050836003,176900,44203,55743,5194
1,1080050837001,447100,16355,67031,30535
2,1080050837002,265600,16736,77847,11472
1,1080050838001,120900,22505,54125,13524
2,1080050838002,561200,78710,116563,42135
3,1080050838003,170100,10216,60969,12434
1,1080050839001,191700,27670,54853,13439
2,1080050839002,167600,14613,49773,8507
1,1080050840001,210000,16075,81250,13499
2,1080050840002,197100,13504,82292,13238
3,1080050840003,218500,12461,72875,6191
1,1080050841001,179500,15039,76538,9125
2,1080050841002,205700,18643,52336,4169
3,1080050841003,225700,7782,82578,7610
1,1080050842001,191300,10589,97188,7294
2,1080050842002,162200,14639,55313,13296
3,1080050842003,133500,32039,52411,12335
1,1080050843001,205200,11170,75383,5507
2,1080050843002,219600,15910,66058,32979
1,1080050844001,190800,9663,65625,14936
2,1080050844002,179500,15539,69542,10115
1,1080050845001,212500,13118,83846,19046
2,1080050845002,,,41470,2785
1,1080050846001,178600,13041,59716,9760
2,1080050846002,202700,22736,73375,3340
3,1080050846003,194200,16188,61992,5515
4,1080050846004,188200,14756,48220,11053
1,1080050847001,185700,10777,65197,11399
2,1080050847002,198200,28829,80817,6413
3,1080050847003,265200,12656,103750,21297
4,1080050847004,177100,18282,59663,14361
1,1080050848001,237200,31633,65625,26161
2,1080050848002,219500,11132,81000,25622
3,1080050848003,247600,26458,88864,36613
1,1080050849001,417400,29990,149853,32677
2,1080050849002,398300,31403,144482,19602
1,1080050850001,597400,37672,113750,27109
1,1080050851001,435400,84703,143636,24707
2,1080050851002,441300,20074,126094,29147
3,1080050851003,385900,22699,142656,16207
1,1080050852001,471600,20109,155769,21637
2,1080050852002,346200,15451,120855,14320
1,1080050853001,460500,23016,88616,14761
1,1080050854001,287200,23381,121172,33418
2,1080050854002,253800,21775,109063,31523
3,1080050854003,240600,13060,79318,24292
1,1080050855001,263200,17914,89894,22437
2,1080050855002,367700,16925,141161,13042
3,1080050855003,215000,14373,81058,19385
1,1080050856001,368200,13435,125882,10048
2,1080050856002,311000,20572,110417,15793
1,1080050857001,138800,10676,57557,19301
2,1080050857002,205700,17142,67000,26885
3,1080050857003,175000,13210,72500,6833
4,1080050857004,115900,19561,51417,18903
1,1080050858001,235000,9471,75431,5995
1,1080050859001,324500,25697,106739,8467
2,1080050859002,260800,14000,80000,18900
1,1080050860001,251800,25717,84031,13247
2,1080050860002,278600,29924,91624,11120
3,1080050860003,259900,20132,101739,17320
4,1080050860004,261500,35125,56845,25692
1,1080050861001,284100,18696,96221,18562
2,1080050861002,230800,8291,81776,5041
3,1080050861003,231700,9554,86774,17846
1,1080050862001,246200,17741,97188,15628
2,1080050862002,239800,10311,92045,16126
3,1080050862003,249400,14653,97763,10386
1,1080050863001,564000,50641,108750,16238
2,1080050863002,158300,34949,50372,6912
3,1080050863003,262900,28980,103750,29040
1,1080050864001,593600,50983,123274,8849
2,1080050864002,805600,75533,178214,38739
1,1080050865001,158100,16833,51522,5725
2,1080050865002,460000,29334,158189,20121
3,1080050865003,221200,5128,67250,23735
1,1080050866001,368000,20581,75357,7574
2,1080050866002,426600,32772,88622,17851
1,1080050867001,402200,24259,135917,14018
2,1080050867002,627000,73985,147308,144798
1,1080050868001,124000,62017,39808,14532
2,1080050868002,154600,24571,50750,19160
3,1080050868003,167200,23787,33534,19511
4,1080050868004,233200,35050,71823,29516
1,1080050869001,226700,18320,36544,10056
2,1080050869002,22500,13973,46319,11747
1,1080050870001,204800,40135,49020,38442
2,1080050870002,166300,24830,59904,21121
3,1080050870003,,,42299,8686
1,1080050871001,,,36605,4759
2,1080050871002,115700,11680,39191,5504
1,1080050872001,537500,90700,51123,10562
2,1080050872002,496500,68921,90167,17235
3,1080050872003,217000,35366,,
1,1080050873001,272400,101615,46211,14410
2,1080050873002,93800,8544,49712,11653
3,1080050873003,250000,78649,,
4,1080050873004,,,31073,4018
5,1080050873005,,,50417,18578
1,1080079404001,273400,41687,53750,17545
2,1080079404002,230600,73240,51538,10914
1,1080079742001,251000,73684,68036,27717
2,1080079742002,217400,102206,56964,20376
3,1080079742003,216300,50039,36406,3657
1,1080079743001,124100,49723,36771,11015
2,1080079743002,335400,45025,46818,15436
