"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b25077001","mhv","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","debt","s4metric"
20006,266,"Simla town, Colorado","8","",70635,"","","10870635","113000",113000,"C1","1230","0598","Simla",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413290,"Simla, Town of",134604.8,0.00447816887351121
21006,349.4,"Calhan town, Colorado","8","",11260,"","","10811260","150300",150300,"C1","0165","0175","Calhan",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413149,"Calhan, Town of",324005.4,0.00616978978505496
21026,9663.2,"Fountain city, Colorado","8","",27865,"","","10827865","185000",185000,"C1","0475","0298","Fountain",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410535,"Fountain, City of",31702729.6,0.0177338879404282
21030,2848.2,"Manitou Springs city, Colorado","8","",48445,"","","10848445","289600",289600,"C1","0850","0453","Manitou Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411021,"Manitou Springs, City of",3543008.4,0.00429539534710495
21032,1921.2,"Monument town, Colorado","8","",51800,"","","10851800","323300",323300,"C1","0915","0481","Monument",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413009,"Monument, Town of",1198129.4,0.00192896986295618
21034,1099.2,"Palmer Lake town, Colorado","8","",57025,"","","10857025","235300",235300,"C1","1025","0513","Palmer Lake",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413103,"Palmer Lake, Town of",2055157.4,0.00794596123997919
21036,68,"Ramah town, Colorado","8","",62660,"","","10862660","117200",117200,"C1","1090","0550","Ramah",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412523,"Ramah, Town of",105480,0.0132352941176471
22001,103.2,"Brookside town, Colorado","8","",9115,"","","10809115","152300",152300,"C1","0140","0721","Brookside",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411733,"Brookside, Town of",134042,0.00852827701344246
22002,7313,"Ca�on City city, Colorado","8","",11810,"","","10811810","148900",148900,"C1","0175","0179","Canon City",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2409976,"Canon City, City of",0,0
22006,160,"Coal Creek town, Colorado","8","",15330,"","","10815330","128100",128100,"C1","0225","0201","Coal Creek",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413219,"Coal Creek, Town of",67921,0.00331386612021858
22011,1747,"Florence city, Colorado","8","",27040,"","","10827040","117000",117000,"C1","0450","0296","Florence",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410510,"Florence, City of",17008981.2,0.0832146008542116
22018,231.8,"Rockvale town, Colorado","8","",64970,"","","10864970","144600",144600,"C1","1130","0566","Rockvale",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412564,"Rockvale, Town of",0,0
22019,281.2,"Williamsburg town, Colorado","8","",85155,"","","10885155","113700",113700,"C1","1370","0679","Williamsburg",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413490,"Williamsburg, Town of",165200,0.00516695003571826
23004,2476.4,"Carbondale town, Colorado","8","",12045,"","","10812045","447700",447700,"C1","0180","0181","Carbondale (was 12030 prior to 1990)",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413166,"Carbondale, Town of",244517.6,0.000220547548486933
23013,538.8,"Parachute town, Colorado","8","",57400,"","","10857400","123800",123800,"C1","1037","0516","Parachute",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413110,"Parachute, Town of",291600.4,0.00437159462840297
23017,3633.2,"Rifle city, Colorado","8","",64255,"","","10864255","195600",195600,"C1","1125","0562","Rifle",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410947,"Rifle, City of",31576189.8,0.0444325837251415
24001,70,"Black Hawk city, Colorado","8","",7025,"","","10807025","232100",232100,"C1","0090","0143","Black Hawk",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2409856,"Black Hawk, City of",12881600,0.792860220348372
25006,1104.8,"Fraser town, Colorado","8","",28305,"","","10828305","276300",276300,"C1","0485","0302","Fraser",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412655,"Fraser, Town of",0,0
25008,1616.6,"Granby town, Colorado","8","",31605,"","","10831605","192800",192800,"C1","0550","0337","Granby",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412699,"Granby, Town of",191540,0.00061453960799855
25014,943.8,"Grand Lake town, Colorado","8","",31715,"","","10831715","411100",411100,"C1","0560","0339","Grand Lake",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412701,"Grand Lake, Town of",159829.8,0.000411936529890578
25015,318.8,"Hot Sulphur Springs town, Colorado","8","",37600,"","","10837600","224600",224600,"C1","0645","0378","Hot Sulphur Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412770,"Hot Sulphur Springs, Town of",1490167,0.0208116674171062
25018,697.6,"Kremmling town, Colorado","8","",41560,"","","10841560","197500",197500,"C1","0730","0408","Kremmling",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412848,"Kremmling, Town of",1837615.8,0.013337706131692
26008,2670.2,"Gunnison city, Colorado","8","",33640,"","","10833640","203100",203100,"C1","0590","0350","Gunnison",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410674,"Gunnison, City of",0,0
