"LG_ID","NAME","CM_FUND_TYPE_ID","GO_DEBT","REVENUE_DEBT","OTHER_DEBT","debt","housingunits","mhv","s4metric"
21026,"Fountain",2,0,0,31702729.6,31702729.6,9663.2,185000,0.0177338879404282
21030,"Manitou Springs",2,0,0,3392394,3392394,2848.2,289600,0.00411279674164666
21030,"Manitou Springs",3,0,0,150614.4,150614.4,2848.2,289600,0.000182598605458289
21032,"Monument",2,180980,0,1017149.4,1198129.4,1921.2,323300,0.00192896986295618
21034,"Palmer Lake",2,424000,0,1631157.4,2055157.4,1099.2,235300,0.00794596123997919
21036,"Ramah",2,0,0,52740,52740,68,117200,0.00661764705882353
21036,"Ramah",3,0,0,52740,52740,68,117200,0.00661764705882353
22001,"Brookside",2,0,0,134042,134042,103.2,152300,0.00852827701344246
22002,"Canon City",2,0,0,0,0,7313,148900,0
22006,"Coal Creek",2,0,0,67921,67921,160,128100,0.00331386612021858
22011,"Florence",2,0,5730214.2,11278767,17008981.2,1747,117000,0.0832146008542116
22018,"Rockvale",2,0,0,0,0,231.8,144600,0
22019,"Williamsburg",2,0,0,165200,165200,281.2,113700,0.00516695003571826
23004,"Carbondale (was 12030 prior to 1990)",2,0,0,244517.6,244517.6,2476.4,447700,0.000220547548486933
23004,"Carbondale (was 12030 prior to 1990)",3,0,0,0,0,2476.4,447700,0
23008,"Glenwood Springs",1,0,6292020,24878649,31170669,4139.8,321100,0.023449115060525
23012,"New Castle",1,0,0,7750386,7750386,1721.6,265100,0.0169817072956968
23013,"Parachute",2,0,0,284829.2,284829.2,538.8,123800,0.00427008262242547
23013,"Parachute",3,0,0,6771.2,6771.2,538.8,123800,0.000101512005977503
23017,"Rifle",2,0,0,16167064,16167064,3633.2,195600,0.02274956001087
23017,"Rifle",3,0,0,15409125.8,15409125.8,3633.2,195600,0.0216830237142715
23019,"Silt",1,0,4904000,387575.2,5291575.2,1085.2,187800,0.0259644782134063
24001,"Black Hawk",2,288000,12593600,0,12881600,70,232100,0.792860220348372
25006,"Fraser",2,0,0,0,0,1104.8,276300,0
25006,"Fraser",3,0,0,0,0,1104.8,276300,0
25008,"Granby",2,0,0,191540,191540,1616.6,192800,0.00061453960799855
25008,"Granby",3,0,0,0,0,1616.6,192800,0
25014,"Grand Lake",2,0,0,159829.8,159829.8,943.8,411100,0.000411936529890578
25015,"Hot Sulphur Springs",2,0,0,1137500,1137500,318.8,224600,0.0158863212559118
25015,"Hot Sulphur Springs",3,0,0,352667,352667,318.8,224600,0.00492534616119442
25018,"Kremmling",2,0,350000,1487615.8,1837615.8,697.6,197500,0.013337706131692
26004,"Crested Butte",1,667500,0,1676070,2343570,1087.2,703400,0.00306454584198729
26008,"Gunnison",2,0,0,0,0,2670.2,203100,0
26008,"Gunnison",3,0,0,0,0,2670.2,203100,0
