geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
Holyoke,10837270,126100,16013,43419,7313
Hooper,10837380,70000,52889,24583,12489
Hotchkiss,10837545,166900,34804,31818,5726
Hot Sulphur Springs,10837600,224600,16814,50250,12171
Howard,10837655,259500,67756,51793,8362
Hudson,10837820,160200,15431,49306,16612
Hugo,10837875,78000,13008,32321,10137
Idaho Springs,10838370,166700,14379,46480,9271
Idalia,10838425,,,,
Idledale,10838480,247700,145196,72188,32233
Ignacio,10838535,163800,28926,48333,8444
Iliff,10838590,80000,33661,36250,7639
Indian Hills,10838810,258800,68600,83269,19477
Inverness,10838910,383500,45121,98717,27761
Jackson Lake,10839160,124300,56186,36339,4714
Jamestown,10839195,303800,36174,55313,25636
Jansen,10839250,158400,106283,75552,46990
Joes,10839745,62000,17866,55625,22695
Johnson Village,10839800,183300,180103,,
Johnstown,10839855,241300,8775,81313,5666
Julesburg,10839965,86400,6081,41500,7395
Keenesburg,10840185,169100,9600,53264,9509
Ken Caryl,10840377,269300,7511,85887,2412
Kersey,10840515,148300,10473,55179,11615
Keystone,10840550,,,66383,18577
Kim,10840570,78800,33449,31875,13625
Kiowa,10840790,131900,34384,58750,10740
Kirk,10840900,,,46786,23832
Kit Carson,10841010,63200,7514,45000,26112
Kittredge,10841065,444600,222563,55958,19541
Kremmling,10841560,197500,17322,58500,11130
Lafayette,10841835,281700,9005,70714,3224
Laird,10842000,118800,94215,,
La Jara,10842055,104100,12487,28000,10447
La Junta,10842110,91100,9525,31113,3732
La Junta Gardens,10842165,128600,68983,83214,58387
Lake City,10842330,269500,20264,44821,21632
Lakeside,10842495,,,,
Lakewood,10843000,254700,3339,56954,1160
Lamar,10843110,78700,8031,35487,3274
Laporte,10843220,237900,35188,53011,9363
Larkspur,10843550,,,44688,20695
La Salle,10843605,142400,7620,48906,4419
Las Animas,10843660,50000,6830,29260,5904
La Veta,10844100,192900,36972,29792,5225
Lazy Acres,10844270,490400,113465,124722,60875
Leadville,10844320,160300,21167,39692,2950
Leadville North,10844375,170500,19869,60676,23883
Lewis,10844595,126900,42411,44063,11270
Leyner,10844695,,,,
Limon,10844980,119400,22448,31776,6074
Lincoln Park,10845145,161800,14205,36618,10563
Littleton,10845255,284000,5943,65221,2011
Lochbuie,10845530,152800,30787,49415,9931
Loghill Village,10845680,456900,74621,91161,11806
Log Lane Village,10845695,71100,5489,35083,6753
Loma,10845750,368100,107798,92854,52900
Lone Tree,10845955,503300,28721,110150,11330
Longmont,10845970,250400,5523,62208,2725
