"LG_ID","NAME","CM_FUND_TYPE_ID","EXP_PRINCIPAL","EXP_INTEREST","EXP_OPERATING","EXP_TRANSFER_OUT","rev","housingunits","mhi","s5metric"
23012,"New Castle",1,406996,256279.8,1235366.2,0,1964969.58,1721.6,66818,0.0170816612576626
23013,"Parachute",2,26913.2,13761.2,314834.8,300,359876.64,538.8,32917,0.0202911108069408
23013,"Parachute",3,3973,518.6,248121.8,300,253362.56,538.8,32917,0.0142854723198766
23017,"Rifle",2,492489.2,307750.6,1856351.8,41936.4,2778551.98,3633.2,54175,0.0141166062189841
23017,"Rifle",3,800239.4,527146,1227316.4,75043.4,2762483.74,3633.2,54175,0.0140349705258804
23019,"Silt",1,292959.2,279293.4,963332.6,68655.4,1661465.86,1085.2,56268,0.0272094747266983
24001,"Black Hawk",2,0,0,2358507,0,2358507,70,38500,0.875141743970315
25006,"Fraser",2,0,0,447418.4,8000,455418.4,1104.8,45938,0.00897335447780592
25006,"Fraser",3,0,0,426222.8,10000,436222.8,1104.8,45938,0.00859513321310917
25008,"Granby",2,12307.6,7743,804819.4,0,826875.06,1616.6,50125,0.0102042932999062
25008,"Granby",3,0,0,548297.6,0,548297.6,1616.6,50125,0.00676642675138209
25014,"Grand Lake",2,77527,8000.2,328201,0,422280.92,943.8,51667,0.0086598075513103
25015,"Hot Sulphur Springs",2,58500,0,211089.2,0,275439.2,318.8,50250,0.0171937801581802
25015,"Hot Sulphur Springs",3,31392.2,11430.4,161542.2,0,208647.06,318.8,50250,0.0130244049514036
25018,"Kremmling",2,54954.4,82968.6,297975.8,185084.6,634775.7,697.6,58500,0.0155545680428135
26004,"Crested Butte",1,288830.4,64003,751072.4,63120,1202309.14,1087.2,59659,0.0185366280430597
26008,"Gunnison",2,0,0,511376.4,27570.4,538946.8,2670.2,35871,0.0056267629884841
26008,"Gunnison",3,0,0,959384.4,54831.4,1014215.8,2670.2,35871,0.0105887110300605
26010,"Marble",2,9999,13663,333.333333333333,0,26361.5333333333,105,64167,0.00391263768326745
27005,"Lake City",1,4074.2,414.2,413640.4,0,418577.64,453.8,44821,0.0205792712560592
28007,"La Veta",2,31888,25533.2,195891.2,0,259054.52,567.4,29792,0.0153250600000681
28007,"La Veta",3,0,0,107993.2,0,107993.2,567.4,29792,0.00638862533492702
28010,"Walsenburg",1,225351.6,386910.6,1188271.4,0,1861759.82,1762,24928,0.0423867690139429
29006,"Walden",1,50469.8,20369,131249,153124.6,362296.28,377.8,44276,0.0216587576815549
30020,"Edgewater",1,0,0,1348077,9862.2,1357939.2,2438.4,44148,0.0126143344612502
30035,"Golden",2,1319000,337928.8,3569204.8,238780,5630606.48,7852,58998,0.0121545139195597
30035,"Golden",3,0,0,1461783.2,0,1461783.2,7852,58998,0.00315547966544779
30055,"Lakewood",2,0,0,886579.2,122450.4,1009029.6,66285,56954,0.000267278739806002
30055,"Lakewood",3,0,0,3250985.4,0,3250985.4,66285,56954,0.000861143499496658
30065,"Morrison",1,115711.2,29207.6,513451.2,0,672861.88,141,59583,0.0800911345672757
30067,"Mountain View",3,0,0,51728,7194,58922,279.2,45714,0.00461650002074691
31002,"Eads",2,15843,47375.8,165468,0,235008.68,352,36150,0.0184685558908588
31002,"Eads",3,11294.8,7788.4,39063.2,20000,80054.72,352,36150,0.00629123601156796
31003,"Haswell",2,1758.8,2293.6,20565.6,0,25023.24,41,42500,0.0143605394548063
32001,"Bethune",2,13937,0,24964.2,0,40294.9,84,37500,0.0127920317460317
32001,"Bethune",3,0,0,16440.2,0,16440.2,84,37500,0.00521911111111111
32004,"Burlington",1,394800.2,31837.4,668222.6,173095.4,1310619.36,1479.6,42457,0.0208632975750037
32010,"Flagler",2,18908.8,10355.2,93084,0,125274.4,328,26125,0.0146194888551756
32010,"Flagler",3,0,0,42708.2,8800,51508.2,328,26125,0.00601099311471584
32015,"Seibert",2,7566.6,2067.6,39217.8,1374,51189.42,122.8,NA,NA
32015,"Seibert",3,15150,662,25805.4,2000,45198.6,122.8,NA,NA
32020,"Stratton",2,41324.4,16247.2,101482.2,0,164810.96,346,42632,0.0111731153672185
32020,"Stratton",3,22397.8,9320.6,82872.6,10000,127762.84,346,42632,0.00866149284588526
32023,"Vona",2,1652.2,2827.2,18966.4,20,23913.74,61,31250,0.0125449127868852
32023,"Vona",3,5436.8,1266.2,7335.8,0,14709.1,61,31250,0.00771624918032787
34005,"Bayfield",2,33430,12542,354956.2,12018.2,417543.6,1004.8,64087,0.00648413820225869
34005,"Bayfield",3,204827.4,154612.4,485900.2,14141.4,895425.38,1004.8,64087,0.0139052829781848
34008,"Durango",2,33900.4,15352.6,2620679.8,333260,3008118.1,7961.2,57024,0.00662611044493121
34008,"Durango",3,0,0,2141390.8,223603.2,2364994,7961.2,57024,0.00520947347299949
34015,"Ignacio",2,17659.4,16183.2,215622,23000,275848.86,309.8,48333,0.0184223923611931
34015,"Ignacio",3,7961.8,15273.2,384939.4,0,410497.9,309.8,48333,0.0274148436837687
35004,"Estes Park",2,290284.2,136382.2,2518596,200963,3188892.04,4164.4,54530,0.0140427408391331
35009,"Fort Collins",2,2699647.2,716619,15505132,2311340,21574364.82,62259.6,55647,0.00622715873346508
35009,"Fort Collins",3,2872665.6,1416675,10009039.4,1667174.2,16394488.26,62259.6,55647,0.00473205499215015
35026,"Loveland",2,0,24615.2,7003397.8,1644657.2,8675131.72,29454.6,56277,0.00523349737007888
35026,"Loveland",3,0,0,5079288.8,763545.4,5842834.2,29454.6,56277,0.0035248407063388
35047,"Wellington",2,101479.4,59458,860138.2,0,1037169.34,2355,76917,0.00572580325990127
35047,"Wellington",3,231835.2,107325.6,475566.2,0,848643.08,2355,76917,0.00468502406169918
36001,"Aguilar",2,20870.2,45305,148982.6,0,221775.32,290,36701,0.0208371020614866
36001,"Aguilar",3,13000,1200,72124,0,87744,290,36701,0.00824406738893707
36002,"Branson",2,2604.8,8373.4,10449.8,0,22525.82,45,36875,0.0135748821092279
36004,"Cokedale",1,5634.4,6182.2,67195.4,0,80193.66,94.6,57857,0.0146518676706779
36005,"Kim",2,3933.2,0,14089,0,18415.52,47,31875,0.0122923788068419
36010,"Starkville",2,2612,700,17137.8,0,20781,35,18438,0.032202129143229
36011,"Trinidad",2,14925,1010,1579221.8,456084.4,2052834.7,4365.4,43819,0.0107316740579735
36011,"Trinidad",3,365324.4,121921.2,1162573.6,0,1698543.76,4365.4,43819,0.00887953521319802
37002,"Arriba",2,16833,0,38010.2,0,56526.5,129,36071,0.0121479837675867
37002,"Arriba",3,5273.8,1271.2,39813,0,47012.5,129,36071,0.0101033512931752
37004,"Genoa",2,6168.8,84.4,32350.2,800,40028.72,84,37321,0.012768478362112
37004,"Genoa",3,10313.4,6786.6,23691.6,0,42501.6,84,37321,0.013557284868343
37006,"Hugo",2,0,0,139738.8,5000,144738.8,409.4,32321,0.0109383632103868
