"LG_ID","NAME","EXP_OPERATING","EXP_TRANSFER_OUT","DEPRECIATION","cost","housingunits","mhi","s5metric"
62046,"Pierce",338827,1600,62712.6,403139.6,337,57917,0.0206547290200255
62050,"Platteville",691213.4,233907.2,135214,1060334.6,940.4,57227,0.0197028628003708
62053,"Severance",797083.6,0,168740,965823.6,1201.8,85625,0.00938566456884017
63003,"Eckley",85012.8,1000,73981.8,159994.6,132,38375,0.0315851544763597
63010,"Wray",317772.2,80000,109350.6,507122.8,1020.4,40850,0.0121660788218986
63017,"Yuma",530232.6,31200,328393.6,889826.2,1490.2,37123,0.0160848703443431
64009,"Arvada",24496400,252200,4746000,29494600,45203.8,69938,0.00932941381896976
64010,"Aurora",85602641.2,0,30633651.2,116236292.4,132556,53011,0.0165415560774625
64029,"Brighton",8853497.8,352656.8,4773074.8,13979229.4,11639.4,61051,0.0196725136963404
64030,"Broomfield",17786854.8,2614574.4,11277493.4,31678922.6,23372.8,81898,0.0165495566488791
64060,"Erie",5095527.2,0,3574784.6,8670311.8,6924.2,111745,0.0112056489369636
64153,"Westminster",29728668,229945,12156743.4,42115356.4,44098.2,67081,0.0142370525903634
64198,"Northglenn",7014063.4,0,2536518,9550581.4,14319.2,55831,0.011946361397813
64205,"Longmont",14007689.2,2454016.8,6317960.2,22779666.2,35433,62208,0.0103345885968464
64225,"Windsor",3350113.2,895730.2,1331113.8,5576957.2,7712.2,80512,0.00898169726767026
64237,"Berthoud",1706451.8,195000,882671.8,2784123.6,2131.4,59477,0.0219621319006994
64258,"Bennett",674975.8,154631,171301.8,1000908.6,898,50750,0.0219625133026869
64264,"Thornton",25403814.6,5363756.4,7914221.4,38681792.4,43906.8,66948,0.0131594335736584
64266,"Johnstown",2223785.8,39162.8,433119,2696067.6,3978.2,81313,0.00833458883325918
